Podcast	Show	Series	Episode	Episode_Absolute	Title	Speaker	Date	Scripture
The Sunday Sermon	The Sunday Sermon	Jude	1		God Preserves the Remnant	Rev. Preston Graham	1/1/2002	Jude 1-2
The Sunday Sermon	The Sunday Sermon	Jude	2		Contend for the Truth (Part 1)	Rev. Preston Graham	1/1/2002	Jude 3-4
The Sunday Sermon	The Sunday Sermon	Jude	3		Contend for the Truth (Part 2)	Rev. Preston Graham	1/1/2002	Jude 3-4
The Sunday Sermon	The Sunday Sermon	Jude	4		Dangers of Unfaithfulness	Rev. Preston Graham	1/1/2002	Jude 5-8
The Sunday Sermon	The Sunday Sermon	Jude	5		Jude Condemns Slanderers	Rev. Preston Graham	1/1/2002	Jude 8-10
The Sunday Sermon	The Sunday Sermon	Jude	6		Warning Against False Teachers	Rev. Preston Graham	1/1/2002	Jude 11-16
The Sunday Sermon	The Sunday Sermon	Jude	7		Survival Training for the Last Days (Part 1): What to Expect	Rev. Preston Graham	1/1/2002	Jude 17-23
The Sunday Sermon	The Sunday Sermon	Jude	8		Survival Training for the Last Days (Part 2): How to be Kept in God's Love	Rev. Preston Graham	1/1/2002	Jude 20-21
The Sunday Sermon	The Sunday Sermon	Jude	9		Survival Training for the Last Days (Part 3): Saving Others from the Fire	Rev. Preston Graham	1/1/2002	Jude 20-21
The Sunday Sermon	The Sunday Sermon	Jude			Praise God for His Protection (Part 1)	Rev. Preston Graham	1/1/2002	Jude 24
The Sunday Sermon	The Sunday Sermon	Jude			Praise God for Who He Is (Part 2)	Rev. Preston Graham	1/1/2002	Jude 25
The Sunday Sermon	The Sunday Sermon				An Old Testament Vision of the Church, Part 2	Nate Phinney	8/3/2003	
The Sunday Sermon	The Sunday Sermon				Rescued, Renewed, and Under Renovation	Tony Phelps	8/10/2003	
The Sunday Sermon	The Sunday Sermon				Enemies of the Cross or Mentors in the Gospel	Rev. John Hardie	8/17/2003	
The Sunday Sermon	The Sunday Sermon				The Secret of Being Content: God's Hand in Our Pocketbook	Rev. John Hardie	8/24/2003	
The Sunday Sermon	The Sunday Sermon	True Spirituality	1		True Spirituality: Abiding in Christ	Rev. Preston Graham	8/31/2003	John 15:1-17
The Sunday Sermon	The Sunday Sermon	True Spirituality	2		True Spirituality Part II: The Power of Christ	Rev. Preston Graham	9/7/2003	John 15:1-17
The Sunday Sermon	The Sunday Sermon				The Teacher & The Text	Rev. Clay Daniel	9/14/2003	
The Sunday Sermon	The Sunday Sermon				The Victory is God's	Rev. Preston Graham	9/21/2003	
The Sunday Sermon	The Sunday Sermon				A Victory Song by the Sea	Rev. Preston Graham	9/28/2003	
The Sunday Sermon	The Sunday Sermon						10/5/2003	
The Sunday Sermon	The Sunday Sermon				Desert Grumblings	Rev. Preston Graham	10/12/2003	
The Sunday Sermon	The Sunday Sermon				The Grace of Liberality	Rev. Preston Graham	10/19/2003	
The Sunday Sermon	The Sunday Sermon				The Victory is God's	Rev. Preston Graham	10/26/2003	
The Sunday Sermon	The Sunday Sermon				The Confession of Jethro the Gentile	Rev. Preston Graham	11/2/2003	
The Sunday Sermon	The Sunday Sermon				The Mediated Presence of God by Elders	Rev. Preston Graham	11/9/2003	
The Sunday Sermon	The Sunday Sermon				A Transcendant Romance	Rev. Preston Graham	11/16/2003	
The Sunday Sermon	The Sunday Sermon				An Appetite for Christ	Rev. Clay Daniel	11/23/2003	
The Sunday Sermon	The Sunday Sermon				Jesus the Prophet	Rev. Clay Daniel	11/30/2003	
The Sunday Sermon	The Sunday Sermon				The Divine Prophet	Rev. Preston Graham	12/7/2003	

