Podcast	Show	Series	Episode	Episode_Absolute	Title	Speaker	Date	Scripture
The Sunday Sermon	The Sunday Sermon				The Beloved Community	Rev. Clay Daniel	1/2/2005	
The Sunday Sermon	The Sunday Sermon				Gospel Economics & True Security	Rev. Preston Graham	1/9/2005	Proverbs 18:9-12
The Sunday Sermon	The Sunday Sermon				Gospel Economics: Stewarding Our Relationships	Rev. Preston Graham	1/16/2005	Ephesians 4:25-5:2
The Sunday Sermon	The Sunday Sermon						1/23/2005	
The Sunday Sermon	The Sunday Sermon				Gospel Economics: Redeeming Our Time	Rev. Preston Graham	1/30/2005	Ephesians 5:3-?
The Sunday Sermon	The Sunday Sermon				Gospel Economics, Part 4: For the Common Good	Rev. Preston Graham	2/6/2005	
The Sunday Sermon	The Sunday Sermon				A Reformed Theology of the Cross	Rev. John Hardie	2/13/2005	
The Sunday Sermon	The Sunday Sermon	Hebrews	1		Supremacy of Christ	Rev. Preston Graham	2/20/2005	Hebrews 1
The Sunday Sermon	The Sunday Sermon	Hebrews	2		Sonship of Christ, Part 2: Christ's Vocation	Rev. Preston Graham	2/27/2005	Hebrews 1:1-3
The Sunday Sermon	The Sunday Sermon	Hebrews	3		Better Than the Angels	Rev. Preston Graham	3/6/2005	Hebrews 1:4-2:3
The Sunday Sermon	The Sunday Sermon	Hebrews	4		The Danger of Spiritual Drifting	Rev. Preston Graham	3/13/2005	Hebrews 2:1-9
The Sunday Sermon	The Sunday Sermon	Hebrews	5		What If God Was One Of Us?	Rev. Preston Graham	3/20/2005	Hebrews 2:10-13
The Sunday Sermon	The Sunday Sermon	Hebrews	6		Delivered!	Rev. Preston Graham	3/27/2005	Hebrews 2:14-18
The Sunday Sermon	The Sunday Sermon	Hebrews	7		The Steward of God's House	Rev. Preston Graham	4/3/2005	Hebrews 3:1-6
The Sunday Sermon	The Sunday Sermon	Hebrews	8		Entering Into God's Rest	Rev. Preston Graham	4/10/2005	Hebrews 3:7-4:10
The Sunday Sermon	The Sunday Sermon	Hebrews	9		An Advocate in Heaven	Rev. Preston Graham	4/17/2005	Hebrews 4:14-5:10
The Sunday Sermon	The Sunday Sermon				Father God and His Deep Love for His Children	Rev. David Hutchinson	4/24/2005	Ephesians 4:32-5:2
The Sunday Sermon	The Sunday Sermon						5/1/2005	
The Sunday Sermon	The Sunday Sermon				Would the Real Shepherd King Please Stand Up!	Rev. Tolivar Wills	5/8/2005	Mark 6:30-44
The Sunday Sermon	The Sunday Sermon				Christ's Ascended Ministry in the Communion of Saints	Rev. Preston Graham	5/15/2005	Ephesians 4:1-16
The Sunday Sermon	The Sunday Sermon				A Kingdom Driven Life	Rev. Preston Graham	5/22/2005	Matthew 6:19-34
The Sunday Sermon	The Sunday Sermon				To Whom Does the Kingdom of God Come?	Rev. Preston Graham	5/29/2005	Matthew 5:3-12
The Sunday Sermon	The Sunday Sermon	Summer Series (Psalms)	1		Hiding from God	Rev. John Hardie	6/5/2005	Psalm 139
The Sunday Sermon	The Sunday Sermon	Summer Series (Psalms)	2		My Times Are in Your Hands	Rev. John Hardie	6/12/2005	Psalm 31
The Sunday Sermon	The Sunday Sermon	Summer Series (Psalms)	3		Take Heart! Our God is King of All	Rev. Tolivar Wills	6/19/2005	Psalm 95:1-11
The Sunday Sermon	The Sunday Sermon	Summer Series (Psalms)	4		Praise Him, He is Worthy	Rev. Tolivar Wills	6/26/2005	Psalm 147
The Sunday Sermon	The Sunday Sermon	Summer Series (Psalms)	5		Sorrows of the Stubborn Hearted	Rev. John Hardie	7/3/2005	Psalm 32
The Sunday Sermon	The Sunday Sermon	Summer Series (Psalms)	6			Rev. Tolivar Wills	7/10/2005	Psalm 12
The Sunday Sermon	The Sunday Sermon	Summer Series (Psalms)	7		The God Who is There	Rev. Clay Daniel	7/17/2005	Psalm 14
The Sunday Sermon	The Sunday Sermon	Summer Series (Psalms)	8		Splendor & Sacrifice	Rev. Clay Daniel	7/24/2005	Psalm 45
The Sunday Sermon	The Sunday Sermon	Summer Series (Psalms)	9		The Forgotten Book	Rev. Preston Graham	7/31/2005	Psalm 19
The Sunday Sermon	The Sunday Sermon	Summer Series (Psalms)	10		Relax, He's Still the King	Rev. Tolivar Wills	8/7/2005	Psalm 46
The Sunday Sermon	The Sunday Sermon	Summer Series (Psalms)	11		Unblushing Joy	Rev. Clay Daniel	8/14/2005	Psalm 34
The Sunday Sermon	The Sunday Sermon	Job			The Gospel According to Job	Rev. John Hardie	8/21/2005	Job 1
The Sunday Sermon	The Sunday Sermon	Job			When God Speaks Into Our Suffering	Rev. John Hardie	8/28/2005	Job 42
The Sunday Sermon	The Sunday Sermon				The Weight of Glory	Rev. Clay Daniel	9/4/2005	2 Corinthians 4
The Sunday Sermon	The Sunday Sermon				A Mystical Union that Saves	Rev. Preston Graham	9/11/2005	John 6:25-65
The Sunday Sermon	The Sunday Sermon				Our Baptismal Identity	Rev. Preston Graham	9/18/2005	Galatians 3:23-29
The Sunday Sermon	The Sunday Sermon				A Self-Renouncing Sabbath Rest	Rev. Preston Graham	9/25/2005	Matthew 12:1-14
The Sunday Sermon	The Sunday Sermon				A Kingdom Focused Vocation	Rev. Preston Graham	10/2/2005	Matthew 4:12-22
The Sunday Sermon	The Sunday Sermon	Hebrews	10		True Repentance & Faith: The Christian Essentials	Rev. Preston Graham	10/9/2005	Hebrews 5:11-6:8
The Sunday Sermon	The Sunday Sermon				For All Who Are Far Off	Rev. David Hutchinson	10/16/2005	Acts 2:36-41
The Sunday Sermon	The Sunday Sermon	Hebrews	11		Our Anchor in Life and in Death	Rev. Preston Graham	10/23/2005	Hebrews 6:9-20
The Sunday Sermon	The Sunday Sermon	Hebrews	12		Our Ultimate High Priest	Rev. Preston Graham	10/30/2005	Hebrews 7:1-28
The Sunday Sermon	The Sunday Sermon	Hebrews	13		The New Covenant	Rev. Preston Graham	11/6/2005	Hebrews 8-9
The Sunday Sermon	The Sunday Sermon				Witness Before a Watching World	Rev. John Hardie	11/13/2005	Acts 1:1-8
The Sunday Sermon	The Sunday Sermon	Hebrews	14?		An Amazing Privilege Often Neglected	Rev. Preston Graham	11/20/2005	Hebrews 10:19-25
The Sunday Sermon	The Sunday Sermon				The Life of God in the Son of Man	Rev. Clay Daniel	11/27/2005	2 Peter 1:1-11
The Sunday Sermon	The Sunday Sermon				The Promise through the Eyes of Zacharias	Rev. John Hardie	12/4/2005	Luke 1:5-25, 57-79
The Sunday Sermon	The Sunday Sermon				Jesus From the Perspective of Mary "Mother of God"	Rev. Preston Graham	12/11/2005	Luke 1:26-56
The Sunday Sermon	The Sunday Sermon				"I Can Die Now"	Rev. David Hutchinson	12/18/2005	Luke 2:21-35
The Sunday Sermon	The Sunday Sermon				Living for a Redeemer: The Perspective of Anna	Rev. Preston Graham	12/25/2005	Luke 2:36-38

